# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-06 00:00:00,8639.67,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-05 00:00:00,11968.3,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-04 00:00:00,10904.5,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-03 00:00:00,10946.9,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-02 00:00:00,9889.83,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-04-01 00:00:00,9732.33,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-31 00:00:00,9562.96,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-30 00:00:00,9075.75,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-29 00:00:00,11518.8,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-28 00:00:00,9560.46,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-27 00:00:00,9938.42,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-26 00:00:00,10453.6,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-25 00:00:00,10625.2,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-24 00:00:00,8666.83,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-23 00:00:00,7891.33,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-22 00:00:00,9807.67,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-03-21 00:00:00,7896.29,cubic feet per second
