# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-14 00:00:00,8638,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-13 00:00:00,8235.75,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-12 00:00:00,7438.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-11 00:00:00,7731.12,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-10 00:00:00,7166.75,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-09 00:00:00,4559.08,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-08 00:00:00,9650.83,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-07 00:00:00,9090.08,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-06 00:00:00,8876.83,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-05 00:00:00,8780.92,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-04 00:00:00,7941.29,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-03 00:00:00,7908.38,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-02 00:00:00,5646.21,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-03-01 00:00:00,6279.46,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-28 00:00:00,6283.21,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-27 00:00:00,6185.83,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-26 00:00:00,6359.71,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-25 00:00:00,7116.42,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-24 00:00:00,6090.58,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-23 00:00:00,5604.58,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-22 00:00:00,7658.62,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-21 00:00:00,6831.46,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-20 00:00:00,7103.46,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-19 00:00:00,6709.29,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-18 00:00:00,6765.42,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-17 00:00:00,7206.42,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-16 00:00:00,5832.75,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-15 00:00:00,7199.46,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-02-14 00:00:00,7217.67,cubic feet per second
