# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Water Wheel,AZ,33.9206,-114.5356,US/Mountain,,,,0,,,,stream,,LC,wwlc,305.91
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-12 00:00:00,9601.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-11 00:00:00,10030.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-10 00:00:00,9599.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-09 00:00:00,11052.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-08 00:00:00,14499.4,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-07 00:00:00,11355,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-06 00:00:00,11235.2,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-05 00:00:00,9233.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-04 00:00:00,12444.6,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-03 00:00:00,11091.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-02 00:00:00,11400.2,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-04-01 00:00:00,9518.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-31 00:00:00,9880.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-30 00:00:00,9705.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-29 00:00:00,9609.75,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-28 00:00:00,12007.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-27 00:00:00,9873.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-26 00:00:00,10254.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-25 00:00:00,10863.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-24 00:00:00,11458.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-23 00:00:00,8597.54,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-22 00:00:00,8758.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-21 00:00:00,10240,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-20 00:00:00,7521.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-19 00:00:00,9945.42,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-18 00:00:00,10926.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-17 00:00:00,10130.4,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-16 00:00:00,9088.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-15 00:00:00,4938.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-14 00:00:00,9235.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-13 00:00:00,9532.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-12 00:00:00,7908.58,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-11 00:00:00,8861.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-10 00:00:00,8339.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-09 00:00:00,6523.46,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-08 00:00:00,7800.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-07 00:00:00,10624.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-06 00:00:00,9652.38,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-05 00:00:00,10018.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-04 00:00:00,8641.25,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-03 00:00:00,8627.67,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-02 00:00:00,8284.79,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-03-01 00:00:00,6018.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-28 00:00:00,6727.46,cubic feet per second
