# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Parker Gage,CA,34.1428,-114.3189,US/Pacific,,,,0,,,,stream,,LC,pglc,347.3
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Parker Gage,pglc,Streamflow,2018-02-06 00:00:00,8218.12,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-05 00:00:00,6869.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-04 00:00:00,6622.58,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-03 00:00:00,5795.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-02 00:00:00,6328.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-02-01 00:00:00,3747.04,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-31 00:00:00,6972.83,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-30 00:00:00,7090.58,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-29 00:00:00,6391.67,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-28 00:00:00,6011.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-27 00:00:00,5702.92,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-26 00:00:00,5698.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-25 00:00:00,3294.29,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-24 00:00:00,5410.92,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-23 00:00:00,5343.62,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-22 00:00:00,6509.96,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-21 00:00:00,6360.21,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-20 00:00:00,5879.96,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-19 00:00:00,5005.38,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-18 00:00:00,3703.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-17 00:00:00,4055.04,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-16 00:00:00,4992.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-15 00:00:00,5690.67,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-14 00:00:00,5999.46,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-13 00:00:00,5512.33,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-12 00:00:00,4426.33,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-11 00:00:00,2533.33,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-09 00:00:00,4267.91,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-08 00:00:00,5338.62,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-07 00:00:00,5181.71,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-06 00:00:00,5003.54,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-05 00:00:00,4033.96,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-04 00:00:00,2063.83,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-03 00:00:00,2992.38,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-02 00:00:00,3757.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-01-01 00:00:00,4333.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2017-12-31 00:00:00,4697.17,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2017-12-30 00:00:00,4100.75,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2017-12-29 00:00:00,1345.71,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2017-12-28 00:00:00,950.667,cubic feet per second
