# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Cibola Gage,AZ,33.2322,-114.6817,US/Mountain,,,,0,,,,stream,,LC,clc,214.5
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Cibola Gage,clc,Streamflow,2018-04-12 00:00:00,10445.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-11 00:00:00,10619.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-10 00:00:00,11810,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-09 00:00:00,14072.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-08 00:00:00,11788,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-07 00:00:00,10746.2,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-06 00:00:00,10347.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-05 00:00:00,12220.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-04 00:00:00,11401.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-03 00:00:00,11303,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-02 00:00:00,10338.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-01 00:00:00,10300.9,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-31 00:00:00,9822.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-30 00:00:00,10219.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-29 00:00:00,11832.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-28 00:00:00,10082.3,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-27 00:00:00,10517.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-26 00:00:00,10941.5,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-25 00:00:00,10694.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-24 00:00:00,8475.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-23 00:00:00,9369.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-22 00:00:00,9954.96,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-21 00:00:00,8322.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-20 00:00:00,9986.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-19 00:00:00,10719.3,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-18 00:00:00,10232.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-17 00:00:00,8230.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-16 00:00:00,6699.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-15 00:00:00,9255.67,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-14 00:00:00,9358.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-13 00:00:00,8320.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-12 00:00:00,8813.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-11 00:00:00,8220.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-10 00:00:00,6723.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-09 00:00:00,8932.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-08 00:00:00,10160.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-07 00:00:00,9400.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-06 00:00:00,9493.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-05 00:00:00,8606.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-04 00:00:00,8376.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-03 00:00:00,7514.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-02 00:00:00,6618.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-03-01 00:00:00,6946.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-28 00:00:00,7067.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-27 00:00:00,7136.38,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-26 00:00:00,7587.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-25 00:00:00,7042.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-24 00:00:00,6632.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-23 00:00:00,8023.67,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-22 00:00:00,7307.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-21 00:00:00,7259.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-20 00:00:00,7142.05,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-19 00:00:00,6829.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-18 00:00:00,7393.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-17 00:00:00,6597.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-16 00:00:00,7153.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-15 00:00:00,7307.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-14 00:00:00,7137.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-13 00:00:00,7027.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-12 00:00:00,6824.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-11 00:00:00,6679.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-10 00:00:00,5395.5,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-09 00:00:00,5958.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-08 00:00:00,7640.74,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-07 00:00:00,7211.75,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-06 00:00:00,6061.75,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-05 00:00:00,5868.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-04 00:00:00,5888.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-03 00:00:00,4760.46,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-02 00:00:00,5784.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-02-01 00:00:00,6816.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-31 00:00:00,6349.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-30 00:00:00,5858.5,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-29 00:00:00,5561.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-28 00:00:00,5378.75,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-27 00:00:00,4429.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-26 00:00:00,4630.96,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-25 00:00:00,5037.54,cubic feet per second
